age,annual_income,loan_amount,credit_score,debt_to_income,employment_years,num_open_accounts,delinquencies_2yrs,loan_term_months,home_ownership,default
25,74259.21,18053.52,678,0.419,20,14,0,60,RENT,0
58,40507.78,14573.0,638,0.274,28,3,0,12,OWN,0
53,37924.82,23690.61,734,0.506,30,9,0,48,OWN,0
42,64194.12,10064.16,586,0.42,22,18,1,24,OWN,1
42,74771.06,22889.39,660,0.741,23,3,0,36,OWN,1
63,55805.13,19307.98,686,0.397,9,3,0,12,MORTGAGE,0
25,29272.13,14903.76,618,0.455,9,18,0,24,RENT,0
55,27794.83,12480.51,717,0.394,5,15,0,48,RENT,0
30,26457.27,34413.34,662,0.335,11,9,1,36,RENT,1
25,19647.56,8463.93,713,0.311,25,8,0,36,MORTGAGE,0
46,57189.71,17383.47,666,0.394,37,19,0,60,RENT,0
68,77500.88,8998.25,680,0.428,17,14,0,36,RENT,0
57,54731.68,29284.97,599,0.523,24,18,0,60,OWN,1
58,12000.0,22094.61,600,0.396,34,1,0,48,MORTGAGE,1
56,51184.79,9573.2,748,0.281,27,10,0,36,MORTGAGE,0
59,51744.02,19100.76,701,0.301,10,14,0,24,MORTGAGE,0
46,96919.98,17061.57,568,0.152,11,0,1,24,MORTGAGE,1
27,25857.24,10867.0,664,0.599,25,10,1,60,MORTGAGE,1
62,47186.45,21065.31,460,0.269,11,1,0,24,MORTGAGE,1
43,89117.05,18114.44,604,0.495,9,18,0,48,RENT,1
45,63999.57,16725.59,727,0.391,23,13,0,12,OWN,0
39,66266.26,14664.64,640,0.396,25,3,3,24,OWN,0
29,57291.69,18448.44,659,0.332,10,10,1,60,OWN,0
66,61598.87,16835.1,409,0.232,1,2,1,36,MORTGAGE,1
59,70552.19,15472.75,619,0.205,30,16,1,60,MORTGAGE,1
52,38810.27,9871.87,677,0.609,15,3,0,24,OWN,0
40,72561.17,28550.13,687,0.367,25,12,2,48,RENT,0
61,27539.94,6596.64,727,0.519,6,1,0,60,OWN,0
47,61567.36,18421.09,633,0.558,12,3,0,60,RENT,1
42,58574.82,12438.07,637,0.288,24,19,1,36,OWN,0
43,42674.14,29076.38,543,0.414,4,7,1,48,RENT,1
32,54546.29,7772.14,634,0.357,12,2,0,60,RENT,0
25,42549.2,9117.89,549,0.176,28,13,1,60,RENT,1
48,33565.97,7241.46,502,0.322,30,4,2,60,OWN,1
64,47927.71,17587.72,563,0.438,14,11,0,12,RENT,1
24,32920.23,4015.59,771,0.275,4,16,0,36,RENT,0
63,61455.95,11171.77,628,0.301,1,13,0,48,RENT,0
61,31998.29,1000.0,668,0.324,22,4,1,48,OWN,0
34,69239.54,16923.37,609,0.667,27,4,0,12,OWN,1
51,31370.42,10998.28,507,0.075,23,4,0,36,OWN,1
29,43674.1,3095.55,725,0.425,16,12,0,12,OWN,0
58,42507.93,23684.88,476,0.312,0,13,1,12,RENT,1
55,81502.93,4538.66,606,0.254,9,10,0,12,MORTGAGE,0
38,61605.8,21375.55,646,0.308,1,7,0,60,RENT,0
24,50765.32,9391.67,668,0.45,18,1,0,24,RENT,1
68,64974.39,27812.57,592,0.459,12,16,0,36,MORTGAGE,1
42,12856.15,20996.4,503,0.378,2,13,1,24,OWN,1
64,54137.33,6935.62,586,0.514,24,12,0,60,OWN,1
54,94950.28,7663.34,590,0.54,14,2,0,60,OWN,0
59,57646.93,19844.2,588,0.472,38,5,1,48,OWN,0
58,56358.26,12900.97,728,0.268,16,6,0,60,MORTGAGE,0
30,65962.57,13645.26,553,0.424,3,11,1,12,MORTGAGE,1
38,72912.1,25177.91,674,0.425,28,15,1,60,RENT,0
43,15050.67,9010.49,663,0.228,28,17,1,36,OWN,0
45,21353.47,15730.35,727,0.115,37,10,0,36,MORTGAGE,0
